type,counts,decade,year
State prisons,1365688,2000,2009
State prisons,1365409,2000,2008
State prisons,1362028,2010,2010
State prisons,1353647,2000,2007
State prisons,1341797,2010,2011
State prisons,1331065,2000,2006
State prisons,1325305,2010,2013
State prisons,1316407,2010,2014
State prisons,1315856,2010,2012
State prisons,1298159,2010,2015
State prisons,1296693,2000,2005
State prisons,1286691,2010,2016
State prisons,1274591,2000,2004
State prisons,1256442,2000,2003
State prisons,1237476,2000,2002
State prisons,1209130,2000,2000
State prisons,1208708,2000,2001
State prisons,1189806,1990,1999
State prisons,1152792,1990,1998
State prisons,1099347,1990,1997
State prisons,1048907,1990,1996
State prisons,1001359,1990,1995
State prisons,936896,1990,1994
State prisons,857675,1990,1993
State prisons,780571,1990,1992
State prisons,732916,1990,1991
State prisons,689577,1990,1990
State prisons,633739,1980,1989
State prisons,560994,1980,1988
State prisons,521289,1980,1987
State prisons,485553,1980,1986
State prisons,447873,1980,1985
State prisons,415796,1980,1984
State prisons,393015,1980,1983
State prisons,371864,1980,1982
State prisons,331504,1980,1981
State prisons,295353,1980,1980
State prisons,278882,1970,1979
State prisons,268005,1970,1978
State prisons,247507,1970,1977
State prisons,235853,1970,1976
State prisons,216462,1970,1975
State prisons,196453,1960,1961
State prisons,196105,1970,1974
State prisons,194886,1960,1962
State prisons,194155,1960,1963
State prisons,192627,1960,1964
State prisons,189855,1960,1965
State prisons,189735,1960,1960
State prisons,185613,1950,1959
State prisons,184094,1950,1958
State prisons,181396,1970,1973
State prisons,180409,1960,1966
State prisons,177513,1960,1969
State prisons,177113,1970,1971
State prisons,176403,1970,1970
State prisons,175317,1960,1967
State prisons,174836,1950,1957
State prisons,174379,1970,1972
State prisons,169431,1950,1956
State prisons,167571,1960,1968
State prisons,165692,1950,1955
State prisons,162898,1950,1954
State prisons,160088,1930,1939
State prisons,154446,1940,1940
State prisons,154216,1950,1953
State prisons,150219,1950,1952
State prisons,149031,1950,1950
State prisons,148285,1950,1951
State prisons,146974,1940,1941
State prisons,146881,1940,1949
State prisons,143152,1930,1938
State prisons,139649,1940,1948
State prisons,137432,1930,1937
State prisons,134158,1940,1947
State prisons,133761,1940,1942
State prisons,129664,1930,1936
State prisons,129418,1930,1935
State prisons,126258,1930,1934
State prisons,125962,1930,1933
State prisons,125721,1930,1932
State prisons,124118,1930,1931
State prisons,122457,1940,1946
State prisons,121107,1940,1943
State prisons,117268,1930,1930
State prisons,115011,1940,1945
State prisons,114317,1940,1944
State prisons,108157,1920,1928
State prisons,107532,1920,1929
State prisons,101624,1920,1927
State prisons,91188,1920,1926
State prisons,85239,1920,1925
